"fnu","area","region","comuna","sex","age","ses","phone","edu","pond","agecat","approval"
1646,1,13,13127,2,31,4,2,4,1.329,2,3
697,1,8,8110,2,71,3,1,3,0.057,5,1
1237,1,13,13109,2,38,2,1,4,1.351,3,2
179,2,4,4106,1,68,4,2,2,0.448,5,2
431,1,6,6101,2,62,3,1,3,2.336,5,3
437,2,6,6104,2,54,4,2,2,0.342,4,3
670,1,8,8106,2,55,4,2,2,0.705,5,2
718,1,8,8110,2,59,4,1,4,0.462,5,2
993,1,10,10101,2,45,3,9,2,0.823,4,2
824,1,8,8416,1,41,4,9,3,0.842,3,1
853,1,9,9101,2,40,2,1,4,3.043,3,2
946,1,14,14101,2,82,4,1,1,0.023,5,1
1850,1,13,13601,2,32,3,9,3,0.101,2,1
352,1,5,5501,2,19,3,1,4,15.183,1,2
1039,1,10,10301,2,71,3,1,2,1.373,5,2
728,1,8,8202,2,63,4,1,2,0.311,5,3
304,1,5,5109,2,33,3,9,4,0.904,2,1
1704,1,13,13131,1,40,4,1,3,0.671,3,1
501,1,6,6310,1,34,4,2,4,1.338,2,3
1144,1,13,13103,2,22,4,1,4,1.472,1,2
662,1,8,8103,1,42,4,1,3,1.685,3,2
783,1,8,8312,1,57,3,1,2,0.919,5,2
1018,1,10,10109,1,37,5,9,2,0.341,3,3
1760,1,13,13201,1,18,3,1,3,2.248,1,2
768,1,8,8302,2,48,3,2,4,0.656,4,1
1004,1,10,10102,1,42,4,2,3,0.522,3,2
1183,1,13,13105,1,52,3,2,3,1.148,4,1
714,1,8,8110,1,21,3,1,3,1.343,1,2
1489,1,13,13119,2,45,3,1,4,0.842,4,2
821,2,8,8408,2,60,4,9,2,0.593,5,3
1025,2,10,10109,1,25,4,9,2,0.491,2,3
67,1,2,2101,2,28,3,2,4,0.823,2,3
89,1,2,2101,2,43,3,1,4,1.923,3,3
168,1,4,4102,2,75,4,2,2,0.346,5,2
461,1,6,6115,2,28,3,2,3,3.532,2,3
1415,1,13,13116,2,52,3,1,3,0.615,4,1
752,1,8,8301,2,54,3,2,2,0.709,4,2
154,1,4,4101,2,22,3,2,3,1.035,1,1
234,1,5,5101,2,22,2,2,4,0.844,1,2
1231,1,13,13109,1,60,4,2,3,0.393,5,1
1463,1,13,13119,1,59,4,2,3,1.961,5,2
769,1,8,8305,2,43,4,2,2,0.609,3,1
705,1,8,8110,2,41,2,1,4,0.605,3,2
669,1,8,8106,1,23,4,1,2,1.314,1,1
170,1,4,4102,1,24,4,2,4,1.371,1,2
774,1,8,8305,2,34,4,2,3,0.805,2,1
